year;title;author_lastname;author_firstname;gender;pub_year;pub_year_clean;fantasy;epoch;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
2013;Das Urteil;Kafka;Franz;m;1913;1913;0;Expressionismus, Postmoderne;;;;;;;1;;;;;;;;;
2017;Der Augsburger Kreidekreis;Brecht;Bertolt;m;1948;1948;0;Exilliteratur;;;;;1;;;;;;;;;;;
2018;Der Augsburger Kreidekreis;Brecht;Bertolt;m;1948;1948;0;Exilliteratur;;;;;1;;;;;;;;;;;
2019;Der Augsburger Kreidekreis;Brecht;Bertolt;m;1948;1948;0;Exilliteratur;;;;;1;;;;;;;;;;;
2007;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2009;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2010;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2011;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2012;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2013;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2014;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2015;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2016;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2017;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2018;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2019;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2020;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2021;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2022;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2023;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2024;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2025;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2026;Der Besuch der alten Dame;Dürrenmatt;Friedrich;m;1956;1956;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2010;Der blonde Eckbert;Tieck;Ludwig;m;1797;1797;1;Romantik;;;;;;;;;;;;;1;;;
2011;Der blonde Eckbert;Tieck;Ludwig;m;1797;1797;1;Romantik;;;;;;;;;;;;;1;;;
2012;Der blonde Eckbert;Tieck;Ludwig;m;1797;1797;1;Romantik;;;;;;;;;;;;;1;;;
2025;Der ewige Spießer;Horváth;Ödön;m;1930;1930;0;Neue Sachlichkeit;;;;;;;;;1;;;;;;;
2012;Der Findling;Kleist;Heinrich;m;1811;1811;0;Romantik;;;;;;1;;;;;;;;;;
2019;Der goldne Topf;Hoffmann;E.T.A.;m;1814;1814;1;Romantik;1;;;;;;;;;;;;;;;
2020;Der goldne Topf;Hoffmann;E.T.A.;m;1814;1814;1;Romantik;1;;;;;;;;;;;;;;;
2021;Der goldne Topf;Hoffmann;E.T.A.;m;1814;1814;1;Romantik;1;;;;;;;;;;;;;;;
2022;Der goldne Topf;Hoffmann;E.T.A.;m;1814;1814;1;Romantik;1;;;;;;;;1;;;;;;;
2021;Der gute Gott von Manhattan;Bachmann;Ingeborg;f;1957;1957;0;Literatur von 1945-1989 in der BRD;1;;;;;;;;;;;;;;;
2017;Der gute Mensch von Sezuan;Brecht;Bertolt;m;1943;1943;0;Exilliteratur;;;;;1;;;;;;;;;;;
2018;Der gute Mensch von Sezuan;Brecht;Bertolt;m;1943;1943;0;Exilliteratur;;;;;1;;;;;;;;;;;
2019;Der gute Mensch von Sezuan;Brecht;Bertolt;m;1943;1943;0;Exilliteratur;;;;;1;;;;;;;;;;;
2021;Der Hessische Landbote;Büchner;Georg;m;1834;1834;0;Vormärz;;;;;1;;;;;;;;;;;
2022;Der Hessische Landbote;Büchner;Georg;m;1834;1834;0;Vormärz;;;;;1;;;;;;;;;;;
2023;Der Hessische Landbote;Büchner;Georg;m;1834;1834;0;Vormärz;;;;;1;;;;;;;;;;;
2025;Der Hessische Landbote;Büchner;Georg;m;1834;1834;0;Vormärz;;;;;;;;;1;;;;;;;
2010;Der Hofmeister;Lenz;Jakob Michael Reinhold;m;1774;1774;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2022;Der Philister vor, in und nach der Geschichte;Brentano;Clemens;m;1811;1811;0;Romantik;;;;;;;;;1;;;;;;;
2013;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;;;;;;;;;1;;;
2014;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;1;;1;;;;;;1;;;
2015;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;1;;1;;;1;;;1;;;
2016;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;1;;1;;;1;;;1;;;
2017;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;;;1;;;1;;;;;;
2018;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;;;1;;;1;;;;;;
2026;Der Process;Kafka;Franz;m;1925;1925;0;Moderne;;;;;;;1;;;;;;;;;
2023;Der Russe ist einer, der Birken liebt;Grjasnowa;Olga;f;2012;2012;0;Gegenwartsliteratur;;;;;1;;;;;;;;;;;
2024;Der Russe ist einer, der Birken liebt;Grjasnowa;Olga;f;2012;2012;0;Gegenwartsliteratur;;;;;1;;;;;;;;;;;
2025;Der Russe ist einer, der Birken liebt;Grjasnowa;Olga;f;2012;2012;0;Gegenwartsliteratur;;;;;1;;;;;;;;;;;
2006;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;;;;1;;;
2007;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2008;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2009;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2010;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2015;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;1;;;;;;;;;;;
2016;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;1;;1;;;;;;;;;
