"","title_original","author_lastname","author_firstname","pub_year","language_codes","series_first"
"10496","Die Judenbuche","Droste-Hülshoff","Annette","2014","ger || eng || ger","nan"
"10497","Schachnovelle","Zweig","Stefan","2013","bre || ger","nan"
"10498","Prinz Friedrich von Homburg","Kleist","Heinrich","2005","fre || ger","nan"
"10499","Schachnovelle","Zweig","Stefan","1968","ger","nan"
"10500","Die Physiker","Dürrenmatt","Friedrich","1969","ger","nan"
"10501","Homo faber","Frisch","Max","1962","ger","nan"
"10502","Römische Elegien","Goethe","Johann Wolfgang","1974","ger","nan"
"10503","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2020","ger","nan"
"10504","In der Strafkolonie","Kafka","Franz","1919","|| ger","nan"
"10505","Effi Briest","Fontane","Theodor","1943","ger","nan"
"10506","Hamlet","Shakespeare","William","1815","ger","nan"
"10507","Die Räuber","Schiller","Friedrich","1905","ger","nan"
"10508","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[1889]","ger","nan"
"10509","Die Verwandlung","Kafka","Franz","    ","ger","nan"
"10510","Leonce und Lena","Büchner","Georg","    ","ger","nan"
"10511","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1787","ger","nan"
"10512","Don Karlos: Infant von Spanien","Schiller","Friedrich","1802","ger","nan"
"10513","Undine","de la Motte Fouqué","Friedrich","1857","ger","nan"
"10514","Italienische Reise","Goethe","Johann Wolfgang","[1937]","ger","nan"
"10515","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1860","ger","nan"
"10516","Der goldne Topf","Hoffmann","E.T.A.","1917","ger","nan"
"10517","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","[1918]","ger","nan"
"10518","Wünschelrute","Eichendorff","Joseph","1927","ger","nan"
"10519","Wünschelrute","Eichendorff","Joseph","1925","ger","nan"
"10520","Heeresbericht","Köppen","Edlef","[1932]","ger","nan"
"10521","Italienische Reise","Goethe","Johann Wolfgang","1921","ger","nan"
"10522","Hamlet","Shakespeare","William","1849","ger || eng","nan"
"10523","Hälfte des Lebens","Hölderlin","Friedrich","1948","ger","nan"
"10524","Die Jahre der Liebe","Nizon","Paul","1957","ger","nan"
"10525","Römische Elegien","Goethe","Johann Wolfgang","1949","ger","nan"
"10526","Die Räuber","Schiller","Friedrich","2013","|| ger","nan"
"10527","Faust I","Goethe","Johann Wolfgang","2013","|| ger","nan"
"10528","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2013","|| ger","nan"
"10529","Kabale und Liebe","Schiller","Friedrich","2013","|| ger","nan"
"10530","Nathan der Weise","Lessing","Gotthold Ephraim","2013","|| ger","nan"
"10531","Prinz Friedrich von Homburg","Kleist","Heinrich","2013","|| ger","nan"
"10532","Leben des Galilei","Brecht","Bertolt","2021","|| ger","nan"
"10533","Woyzeck","Büchner","Georg","2021","|| ger","nan"
"10534","Nathan der Weise","Lessing","Gotthold Ephraim","2007","ger","nan"
"10535","Don Karlos: Infant von Spanien","Schiller","Friedrich","1787","ger","nan"
"10536","Prinz Friedrich von Homburg","Kleist","Heinrich","1908","ger","nan"
"10537","Italienische Reise","Goethe","Johann Wolfgang","[1924]","ger","nan"
"10538","Der Sandmann","Hoffmann","E.T.A.","1925","ger","nan"
"10539","Römische Elegien","Goethe","Johann Wolfgang","[1948]","ger","nan"
"10540","Über das Marionettentheater","Kleist","Heinrich","1961","ger","nan"
"10541","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","    ","ger","nan"
"10542","Der Sandmann","Hoffmann","E.T.A.","    ","ger","nan"
"10543","Deutschland. Ein Wintermärchen","Heine","Heinrich","    ","ger","nan"
"10544","Die Judenbuche","Droste-Hülshoff","Annette","    ","ger","nan"
"10545","Die Verwandlung","Kafka","Franz","    ","ger","nan"
"10546","Kabale und Liebe","Schiller","Friedrich","    ","ger","nan"
"10547","Lenz","Büchner","Georg","    ","ger","nan"
"10548","Michael Kohlhaas","Kleist","Heinrich","    ","ger","nan"
"10549","Der Process","Kafka","Franz","[2020]","ger","nan"
"10550","Professor Unrat","Mann","Heinrich","[2021]","ger","nan"
"10551","Die Blechtrommel","Grass","Günter","2021","ger","nan"
"10552","Der Sandmann","Hoffmann","E.T.A.","2008","|| ger","nan"
"10553","Deutschland. Ein Wintermärchen","Heine","Heinrich","2008","|| ger","nan"
"10554","Die Judenbuche","Droste-Hülshoff","Annette","2008","|| ger","nan"
"10555","Die Verwandlung","Kafka","Franz","2008","|| ger","nan"
"10556","Kabale und Liebe","Schiller","Friedrich","2008","|| ger","nan"
"10557","Lenz","Büchner","Georg","2008","|| ger","nan"
"10558","Michael Kohlhaas","Kleist","Heinrich","2008","|| ger","nan"
"10559","Woyzeck","Büchner","Georg","2019","ger","nan"
"10560","Hiob","Roth","Joseph","2021","|| ger","nan"
"10561","Mephisto","Mann","Klaus","2021","|| ger","nan"
"10562","Professor Unrat","Mann","Heinrich","2021","|| ger","nan"
"10563","Die Blechtrommel","Grass","Günter","2023","|| ger","nan"
"10564","Der Process","Kafka","Franz","2024","|| ger","nan"
"10565","Die Blechtrommel","Grass","Günter","2024","|| ger","nan"
"10566","Effi Briest","Fontane","Theodor","2024","|| ger","nan"
"10567","Professor Unrat","Mann","Heinrich","2024","|| ger","nan"
"10568","Schachnovelle","Zweig","Stefan","2024","|| ger","nan"
"10569","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[um 1917]","ger","nan"
"10570","Die Marquise von O.","Kleist","Heinrich","[1919]","ger","nan"
"10571","Hamlet","Shakespeare","William","[ca. 1866]","ger","nan"
"10572","Im Westen Nichts Neues","Remarque","Erich Maria","1983","ger","nan"
"10573","Schachnovelle","Zweig","Stefan","1984","ger","nan"
"10574","Ansichten eines Clowns","Böll","Heinrich","    ","nan","nan"
"10575","Buddenbrooks","Mann","Thomas","    ","nan","nan"
"10576","Die Blechtrommel","Grass","Günter","    ","nan","nan"
"10577","Landnahme","Hein","Christoph","    ","nan","nan"
"10578","Mephisto","Mann","Klaus","    ","nan","nan"
"10579","Transit","Seghers","Anna","    ","nan","nan"
"10580","Räuberbande","Heinrich","Finn-Ole","-2007","ger","nan"
"10581","Räuberbande","Heinrich","Finn-Ole","-2007","ger","nan"
"10582","Räuberbande","Heinrich","Finn-Ole","-2007","ger","nan"
"10583","Michael Kohlhaas","Kleist","Heinrich","1950","ger","nan"
"10584","Michael Kohlhaas","Kleist","Heinrich","1951","ger","nan"
"10585","An die Nachgeborenen","Brecht","Bertolt","c 1960","ger","nan"
"10586","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","1978","ger","nan"
"10587","Hamlet","Shakespeare","William","1967","ger","nan"
"10588","Wünschelrute","Eichendorff","Joseph","1914","ger","nan"
"10589","Wünschelrute","Eichendorff","Joseph","1956","ger","nan"
"10590","Schachnovelle","Zweig","Stefan","2016","tur || ger","nan"
"10591","Die Marquise von O.","Kleist","Heinrich","2017","ger","nan"
"10592","Kleiner Mann - was nun?","Fallada","Hans","2017","ger","nan"
"10593","Prinz Friedrich von Homburg","Kleist","Heinrich","2017","ger","nan"
"10594","Wünschelrute","Eichendorff","Joseph","2017","ger","nan"
"10595","Wünschelrute","Eichendorff","Joseph","2017","ger","nan"
"10596","Agnes","Stamm","Peter","2018","ger","nan"
"10597","Bahnwärter Thiel","Hauptmann","Gerhart","2018","ger","nan"
"10598","Bahnwärter Thiel","Hauptmann","Gerhart","2018","ger","nan"
"10599","Buddenbrooks","Mann","Thomas","2018","ger","nan"
"10600","Der goldne Topf","Hoffmann","E.T.A.","2018","ger","nan"
"10601","Deutschland. Ein Wintermärchen","Heine","Heinrich","2018","ger","nan"
"10602","Die Dreigroschenoper","Brecht","Bertolt","2018","ger","nan"
"10603","Die Judenbuche","Droste-Hülshoff","Annette","2018","ger","nan"
"10604","Die Judenbuche","Droste-Hülshoff","Annette","2018","ger","nan"
"10605","Die Judenbuche","Droste-Hülshoff","Annette","2018","ger","nan"
"10606","Die letzten Tage der Menschheit","Kraus","Karl","2018","ger","nan"
"10607","Faust II","Goethe","Johann Wolfgang","2018","ger","nan"
"10608","Gehen, ging, gegangen","Erpenbeck","Jenny","2018","ger","nan"
"10609","Hamlet","Shakespeare","William","2018","ger","nan"
"10610","Irrungen, Wirrungen","Fontane","Theodor","2018","ger","nan"
"10611","Jakob der Lügner","Becker","Jurek","2018","ger","nan"
"10612","Kabale und Liebe","Schiller","Friedrich","2018","ger","nan"
"10613","Nathan der Weise","Lessing","Gotthold Ephraim","2018","ger","nan"
"10614","Räuberbande","Heinrich","Finn-Ole","2018","ger","nan"
"10615","Römische Elegien","Goethe","Johann Wolfgang","2018","ger","nan"
"10616","Schachnovelle","Zweig","Stefan","2018","ger","nan"
"10617","Terror","Schirach","Ferdinand","2018","ger","nan"
"10618","Tonio Kröger","Mann","Thomas","2018","ger","nan"
"10619","Unter der Drachenwand","Geiger","Arno","2018","ger","nan"
"10620","Verbrechen","Schirach","Ferdinand","2018","ger","nan"
"10621","Deutschland. Ein Wintermärchen","Heine","Heinrich","2019","ger","nan"
"10622","Die Marquise von O.","Kleist","Heinrich","2019","ger","nan"
"10623","Herkunft","Stanisic","Sasa","2019","ger","nan"
"10624","Italienische Reise","Goethe","Johann Wolfgang","2019","ger","nan"
"10625","Mephisto","Mann","Klaus","2019","ger","nan"
"10626","Römische Elegien","Goethe","Johann Wolfgang","2019","ger","nan"
"10627","Die Jahre der Liebe","Nizon","Paul","2019-","ger","nan"
"10628","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2020","ger","nan"
"10629","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2020","ger","nan"
"10630","Bahnwärter Thiel","Hauptmann","Gerhart","2020","ger","nan"
"10631","Berlin Alexanderplatz","Döblin","Alfred","2020","ger","nan"
"10632","Der blonde Eckbert","Tieck","Ludwig","2020","ger","nan"
"10633","Der gute Gott von Manhattan","Bachmann","Ingeborg","2020","ger","nan"
"10634","Der Steppenwolf","Hesse","Hermann","2020","ger","nan"
"10635","Die Berliner Antigone","Hochhuth","Rolf","2020","ger","nan"
"10636","Die Blechtrommel","Grass","Günter","2020","ger","nan"
"10637","Effi Briest","Fontane","Theodor","2020","ger","nan"
"10638","Hamlet","Shakespeare","William","2020","ger","nan"
"10639","Irrungen, Wirrungen","Fontane","Theodor","2020","ger","nan"
"10640","Kabale und Liebe","Schiller","Friedrich","2020","ger","nan"
"10641","Michael Kohlhaas","Kleist","Heinrich","2020","ger","nan"
"10642","Michael Kohlhaas","Kleist","Heinrich","2020","ger","nan"
"10643","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2020","ger","nan"
"10644","Professor Unrat","Mann","Heinrich","2020","ger","nan"
"10645","Schachnovelle","Zweig","Stefan","2020","ger","nan"
"10646","Buddenbrooks","Mann","Thomas","2020-","ger","nan"
"10647","Frau Jenny Treibel","Fontane","Theodor","2020-","ger","nan"
"10648","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2021","ger","nan"
"10649","Das Marmorbild","Eichendorff","Joseph","2021","ger","nan"
"10650","Das Marmorbild","Eichendorff","Joseph","2021","ger","nan"
"10651","Deutschland. Ein Wintermärchen","Heine","Heinrich","2021","ger","nan"
"10652","Die Jungfrau von Orleans","Schiller","Friedrich","2021","ger","nan"
"10653","Die Physiker","Dürrenmatt","Friedrich","2021","ger","nan"
"10654","Fabian. Die Geschichte eines Moralisten","Kästner","Erich","2021","ger","nan"
"10655","Hamlet","Shakespeare","William","2021","ger","nan"
"10656","Hamlet","Shakespeare","William","2021","|| ger","nan"
"10657","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2021","ger","nan"
"10658","Leonce und Lena","Büchner","Georg","2021","ger","nan"
"10659","Maria Stuart","Schiller","Friedrich","2021","ger","nan"
"10660","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2021","ger","nan"
"10661","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2021","ger","nan"
"10662","Tod in Venedig","Mann","Thomas","2021","ger","nan"
"10663","Vor dem Fest","Stanisic","Sasa","2021","ger","nan"
"10664","Wünschelrute","Eichendorff","Joseph","2021","ger","nan"
"10665","Wünschelrute","Eichendorff","Joseph","2021","ger","nan"
"10666","Nachtcafé","Benn","Gottfried","2021-","zxx","nan"
"10667","…liner Roma…","Ringelnatz","Joachim","2022","ger","nan"
"10668","Abschied von den Eltern","Weiss","Peter","2022","ger","nan"
"10669","Ansichten eines Clowns","Böll","Heinrich","2022","ger","nan"
"10670","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10671","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10672","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10673","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10674","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10675","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10676","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10677","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10678","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10679","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10680","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10681","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10682","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10683","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10684","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10685","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10686","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10687","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10688","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10689","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10690","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10691","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10692","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10693","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10694","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10695","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2022","ger","nan"
"10696","Bahnwärter Thiel","Hauptmann","Gerhart","2022","ger","nan"
"10697","Bahnwärter Thiel","Hauptmann","Gerhart","2022","ger","nan"
"10698","Bahnwärter Thiel","Hauptmann","Gerhart","2022","ger","nan"
"10699","Berlin Alexanderplatz","Döblin","Alfred","2022","ger","nan"
"10700","Berlin Alexanderplatz","Döblin","Alfred","2022","ger","nan"
"10701","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10702","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10703","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10704","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10705","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10706","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10707","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10708","Dantons Tod","Büchner","Georg","2022","ger","nan"
"10709","Das Erdbeben in Chili","Kleist","Heinrich","2022","ger","nan"
"10710","Das Erdbeben in Chili","Kleist","Heinrich","2022","ger","nan"
"10711","Das Feuer","Barbusse","Henri","2022","ger","nan"
"10712","Das kunstseidene Mädchen","Keun","Irmgard","2022","ger","nan"
"10713","Das Marmorbild","Eichendorff","Joseph","2022","ger","nan"
"10714","Das Marmorbild","Eichendorff","Joseph","2022","ger","nan"
"10715","Das Marmorbild","Eichendorff","Joseph","2022","ger","nan"
"10716","Das Schloss","Kafka","Franz","2022","ger","nan"
"10717","Das Schloss","Kafka","Franz","2022","ger","nan"
"10718","Das Schloss","Kafka","Franz","2022","ger","nan"
"10719","Das Schloss Dürande","Eichendorff","Joseph","2022","ger","nan"
"10720","Der ewige Spießer","Horváth","Ödön","2022","ger","nan"
"10721","Der goldne Topf","Hoffmann","E.T.A.","2022","ger","nan"
"10722","Der goldne Topf","Hoffmann","E.T.A.","2022","ger","nan"
"10723","Der goldne Topf","Hoffmann","E.T.A.","2022","ger","nan"
"10724","Der Process","Kafka","Franz","2022","ger","nan"
"10725","Der Process","Kafka","Franz","2022","ger","nan"
"10726","Der Trafikant","Seethaler","Robert","2022","ger","nan"
"10727","Der Untertan","Mann","Heinrich","2022","ger","nan"
"10728","Der Verbrecher aus verlorener Ehre","Schiller","Friedrich","2022","|| ger","nan"
"10729","Der Verschollene","Kafka","Franz","2022","ger","nan"
"10730","Der zerbrochne Krug","Kleist","Heinrich","2022","ger","nan"
"10731","Deutschland. Ein Wintermärchen","Heine","Heinrich","2022","ger","nan"
"10732","Deutschland. Ein Wintermärchen","Heine","Heinrich","2022","ger","nan"
"10733","Deutschland. Ein Wintermärchen","Heine","Heinrich","2022","ger","nan"
"10734","Die Blechtrommel","Grass","Günter","2022","ger","nan"
"10735","Die Blechtrommel","Grass","Günter","2022","ger","nan"
"10736","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10737","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10738","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10739","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10740","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10741","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10742","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10743","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10744","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10745","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10746","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10747","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10748","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10749","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10750","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10751","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10752","Die Judenbuche","Droste-Hülshoff","Annette","2022","ger","nan"
"10753","Die Jungfrau von Orleans","Schiller","Friedrich","2022","ger","nan"
"10754","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","pol || ger","nan"
"10755","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","ger","nan"
"10756","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","|| ger","nan"
"10757","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","ger","nan"
"10758","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","ger","nan"
"10759","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","ger","nan"
"10760","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2022","ger","nan"
"10761","Die letzten Tage der Menschheit","Kraus","Karl","2022","ger","nan"
"10762","Die Marquise von O.","Kleist","Heinrich","2022","ger","nan"
"10763","Die Marquise von O.","Kleist","Heinrich","2022","ger","nan"
"10764","Die Räuber","Schiller","Friedrich","2022","ger","nan"
"10765","Die Räuber","Schiller","Friedrich","2022","ger","nan"
"10766","Die Räuber","Schiller","Friedrich","2022","ger","nan"
"10767","Die Räuber","Schiller","Friedrich","2022","ger","nan"
"10768","Die Räuber","Schiller","Friedrich","2022","ger","nan"
"10769","Die Soldaten","Lenz","Jakob Michael Reinhold","2022","ger","nan"
"10770","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","2022","ger","nan"
"10771","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","2022","ger","nan"
"10772","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10773","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10774","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10775","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10776","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10777","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10778","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10779","Effi Briest","Fontane","Theodor","2022","ger","nan"
"10780","Emilia Galotti","Lessing","Gotthold Ephraim","2022","ger","nan"
"10781","Emilia Galotti","Lessing","Gotthold Ephraim","2022","ger","nan"
"10782","Emilia Galotti","Lessing","Gotthold Ephraim","2022","ger","nan"
"10783","Frau Jenny Treibel","Fontane","Theodor","2022","ger","nan"
"10784","Frau Jenny Treibel","Fontane","Theodor","2022","ger","nan"
"10785","Frau Jenny Treibel","Fontane","Theodor","2022","ger","nan"
"10786","Hamlet","Shakespeare","William","2022","ger || eng","nan"
"10787","Hamlet","Shakespeare","William","2022","|| ger","nan"
"10788","Hamlet","Shakespeare","William","2022","ger","nan"
"10789","Hamlet","Shakespeare","William","2022","ger","nan"
"10790","Hamlet","Shakespeare","William","2022","ger","nan"
"10791","Hamlet","Shakespeare","William","2022","ger","nan"
"10792","Hamlet","Shakespeare","William","2022","ger","nan"
"10793","Im Krebsgang","Grass","Günter","2022","ger","nan"
"10794","In der Strafkolonie","Kafka","Franz","2022","ger","nan"
"10795","In der Strafkolonie","Kafka","Franz","2022","ger","nan"
"10796","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10797","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10798","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10799","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10800","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10801","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10802","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10803","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2022","ger","nan"
"10804","Irrungen, Wirrungen","Fontane","Theodor","2022","ger","nan"
"10805","Irrungen, Wirrungen","Fontane","Theodor","2022","ger","nan"
"10806","Italienische Reise","Goethe","Johann Wolfgang","2022","ger","nan"
"10807","Italienische Reise","Goethe","Johann Wolfgang","2022","ger","nan"
"10808","Kabale und Liebe","Schiller","Friedrich","2022","ger","nan"
"10809","Kabale und Liebe","Schiller","Friedrich","2022","ger","nan"
"10810","Kabale und Liebe","Schiller","Friedrich","2022","ger","nan"
"10811","Kabale und Liebe","Schiller","Friedrich","2022","ger","nan"
"10812","Katz und Maus","Grass","Günter","2022","ger","nan"
"10813","Klein Zaches genannt Zinnober","Hoffmann","E.T.A.","2022","ger","nan"
"10814","Kleiner Mann - was nun?","Fallada","Hans","2022","ger","nan"
"10815","Lenz","Büchner","Georg","2022","ger","nan"
"10816","Lenz","Büchner","Georg","2022","ger","nan"
"10817","Leonce und Lena","Büchner","Georg","2022","ger","nan"
"10818","Leonce und Lena","Büchner","Georg","2022","ger","nan"
"10819","Leonce und Lena","Büchner","Georg","2022","ger","nan"
"10820","Leonce und Lena","Büchner","Georg","2022","ger","nan"
"10821","Leonce und Lena","Büchner","Georg","2022","ger","nan"
"10822","Maria Stuart","Schiller","Friedrich","2022","ger","nan"
"10823","Maria Stuart","Schiller","Friedrich","2022","ger","nan"
"10824","Maria Stuart","Schiller","Friedrich","2022","ger","nan"
"10825","Maria Stuart","Schiller","Friedrich","2022","ger","nan"
"10826","Mathilde Möhring","Fontane","Theodor","2022","ger","nan"
"10827","Mathilde Möhring","Fontane","Theodor","2022","ger","nan"
"10828","Mephisto","Mann","Klaus","2022","ger","nan"
"10829","Mephisto","Mann","Klaus","2022","cze || ger","nan"
"10830","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10831","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10832","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10833","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10834","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10835","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10836","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10837","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10838","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10839","Michael Kohlhaas","Kleist","Heinrich","2022","ger","nan"
"10840","Nach Mitternacht","Keun","Irmgard","2022","ger","nan"
"10841","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10842","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10843","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10844","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10845","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10846","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10847","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10848","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10849","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10850","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10851","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10852","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10853","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10854","Nathan der Weise","Lessing","Gotthold Ephraim","2022","ger","nan"
"10855","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10856","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10857","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10858","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10859","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10860","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10861","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10862","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10863","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","2022","ger","nan"
"10864","Prinz Friedrich von Homburg","Kleist","Heinrich","2022","ger","nan"
"10865","Professor Unrat","Mann","Heinrich","2022","ger","nan"
"10866","Professor Unrat","Mann","Heinrich","2022","ger","nan"
"10867","Römische Elegien","Goethe","Johann Wolfgang","2022","ger","nan"
"10868","Schachnovelle","Zweig","Stefan","2022","ger","nan"
"10869","Schachnovelle","Zweig","Stefan","2022","ger","nan"
"10870","Tauben im Gras","Koeppen","Wolfgang","2022","ger","nan"
"10871","Tod in Venedig","Mann","Thomas","2022","ger","nan"
"10872","Transit","Seghers","Anna","2022","ger","nan"
"10873","Über das Marionettentheater","Kleist","Heinrich","2022","ger","nan"
"10874","Über das Marionettentheater","Kleist","Heinrich","2022","ger","nan"
"10875","Undine","de la Motte Fouqué","Friedrich","2022","ger","nan"
"10876","Undine","de la Motte Fouqué","Friedrich","2022","ger","nan"
"10877","Undine","de la Motte Fouqué","Friedrich","2022","|| ger","nan"
